,整数位,小数位,LAMBDA
1749,-4,51295523578864 ,-4.512955236
1750,-8,76925584472074 ,-8.769255845
1751,-8,76925584472074 ,-8.769255845
1752,-8,76925584472074 ,-8.769255845
1753,-8,76925584472074 ,-8.769255845
1754,-4,39842354585339 ,-4.398423546
1755,-4,53269885559441 ,-4.532698856
1756,-5,75614705004466 ,-5.75614705
1757,-4,69646145348206 ,-4.696461453
1758,-8,76925517008362 ,-8.76925517
1759,-2,55367584684748 ,-2.553675847
1760,-8,76925584472074 ,-8.769255845
1761,-5,75997976301232 ,-5.759979763
1762,-6,41240418622659 ,-6.412404186
1763,-4,39033053178813 ,-4.390330532
1764,-4,36917215064151 ,-4.369172151
1765,-8,76925584472074 ,-8.769255845
1766,-8,76925584472074 ,-8.769255845
1767,-8,76925584472074 ,-8.769255845
1768,-6,40796037702614 ,-6.407960377
1769,-2,72163189978681 ,-2.7216319
1770,-6,41401582486746 ,-6.414015825
1771,-3,46190452810953 ,-3.461904528
1772,-3,75222708925278 ,-3.752227089
1773,-3,75256006627805 ,-3.752560066
1774,-8,76925584472074 ,-8.769255845
1775,-8,76925584472074 ,-8.769255845
1776,-6,41240418622659 ,-6.412404186
1777,-6,4155000762563 ,-6.041550008
1778,-6,41401582486746 ,-6.414015825
1779,-8,76925584472074 ,-8.769255845
1780,-8,76925584472074 ,-8.769255845
1781,-5,37609574650181 ,-5.376095747
1782,-5,37428732208256 ,-5.374287322
1783,-5,37733048944937 ,-5.377330489
1784,-6,41401582486746 ,-6.414015825
1785,-8,76925584472074 ,-8.769255845
1786,-6,41164509060779 ,-6.411645091
1787,-8,76925584472074 ,-8.769255845
1788,-3,50642338089268 ,-3.506423381
1789,-3,98897175473752 ,-3.988971755
1790,-8,76925584472074 ,-8.769255845
1791,-3,97714448759078 ,-3.977144488
1792,-4,18735078457244 ,-4.187350785
1793,-6,41401582486747 ,-6.414015825
1794,-3,9079767531611 ,-3.090797675
1795,-2,23690057854214 ,-2.236900579
1796,-8,76925584472074 ,-8.769255845
1797,-8,76925584472074 ,-8.769255845
1798,-2,30293302977582 ,-2.30293303
1799,-5,75803818681119 ,-5.758038187
1800,-3,34944759253713 ,-3.349447593
1801,-5,75947571318302 ,-5.759475713
1802,-8,76925584472074 ,-8.769255845
1803,-8,76925584472074 ,-8.769255845
1804,-8,76925584472074 ,-8.769255845
1805,-8,76925584472074 ,-8.769255845
1806,-8,76916208820759 ,-8.769162088
1807,-8,76925584472074 ,-8.769255845
1808,-6,41066290410873 ,-6.410662904
1809,-3,9336139215 ,-3.000093361
1810,-5,76299046070881 ,-5.762990461
1811,-3,26108183324984 ,-3.261081833
1812,-5,37360155066694 ,-5.373601551
1813,-8,76925584472074 ,-8.769255845
1814,-6,41145876494045 ,-6.411458765
1815,-8,76925584472074 ,-8.769255845
1816,-8,76925584472074 ,-8.769255845
1817,-8,76925584472074 ,-8.769255845
1818,-8,76925584472074 ,-8.769255845
1819,-6,41277639517722 ,-6.412776395
1820,-6,41007505174617 ,-6.410075052
1821,-6,41401582486749 ,-6.414015825
1822,-5,75790609872981 ,-5.757906099
